c59320_retnmdl_eda_dataset_v1.opportunity__c,c59320_retnmdl_eda_dataset_v1.ags__c,c59320_retnmdl_eda_dataset_v1.legal_account_name__c,c59320_retnmdl_eda_dataset_v1.account_name,c59320_retnmdl_eda_dataset_v1.sold,c59320_retnmdl_eda_dataset_v1.close_month,c59320_retnmdl_eda_dataset_v1.close_year,c59320_retnmdl_eda_dataset_v1.duration_yrs,c59320_retnmdl_eda_dataset_v1.market,c59320_retnmdl_eda_dataset_v1.segment_sub,c59320_retnmdl_eda_dataset_v1.fundng_ty,c59320_retnmdl_eda_dataset_v1.sic_division,c59320_retnmdl_eda_dataset_v1.dups,c59320_retnmdl_eda_dataset_v1.prebbd_re,c59320_retnmdl_eda_dataset_v1.bbd,c59320_retnmdl_eda_dataset_v1.postbbd_re,c59320_retnmdl_eda_dataset_v1.rnwl_fund
OP-1763786,606788,"Technology Crossover Ventures (TCMI, Inc.)",NULL,Y,Jan,2017.0,5.333,NY/NJ,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1764265,609305,Integro Insurance Brokers,NULL,N,Jan,2017.0,3.417,MD/VA/DC,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1764267,606735,Rocky Mountain Institute,NULL,Y,Jan,2017.0,5.417,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1764286,611494,"SafetyNet Works, Inc. dba MVD Express",NULL,Y,Jan,2017.0,2.417,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1764917,609276,"Command Center, Inc.",NULL,Y,Jan,2017.0,3.417,Pacific Northwest,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1765008,613820,Hosanna,NULL,Y,Jan,2017.0,1.417,Mountain States,100-249,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1767901,611543,KSG Distributing INC,NULL,Y,Jan,2017.0,2.417,Mountain States,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1772341,609372,"Zonatherm Products, Inc.",NULL,N,Jan,2017.0,3.417,Midwest,2-99,ASO,Wholesale_Trade,1,NULL,NULL,NULL,NULL
OP-1772418,3337972,NatWest Markets Securities Inc.,NULL,Y,Jan,2017.0,2.25,NY/NJ,O500,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
OP-1774116,3336394,"Citco Technology Management, Inc.","Citco Technology Management, Inc.",Y,Jan,2017.0,3.917,NY/NJ,O500,Minimum Premium,Services,1,0.050311,0.0,0.050311,SR
OP-1775240,606946,"Four Winds Interactive, LLC",NULL,N,Jan,2017.0,5.167,Mountain States,250-500,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1779341,611598,"Aspen Square Condominium Association, Inc.",NULL,N,Jan,2017.0,2.333,Mountain States,2-99,ASO,Services,1,NULL,NULL,NULL,NULL
OP-1780271,613941,"First Arizona Title Agency, LLC",NULL,Y,Jan,2017.0,1.333,Arizona,2-99,ASO,Finance_Insur_RlEstate,1,NULL,NULL,NULL,NULL
